horizon,key,proxy,epsilon,mean_epsilon,min_epsilon,median_epsilon,q1_epsilon,q3_epsilon,proxy_time,simulate_time
8,22,50.322113037109375,41.85080880089597,24.817099426757075,11.716278026169242,24.235576463524055,21.678133818077573,28.009632034770576,10.234375,750.453125
8,24,53.499107360839844,42.8086626368605,25.897445550953307,0.0,26.880583171853484,24.451921669692386,30.039591625335913,4.515625,602.375
8,26,50.43587875366211,42.86400787329179,27.23535556889829,0.0,27.540084577305016,24.526888397749715,31.23762147215389,8.328125,978.0
8,28,52.87224578857422,47.825029444122066,30.103206871010116,0.0,30.106000519974195,27.748111933337903,33.0676646381762,8.453125,849.71875
8,30,51.748252868652344,49.886185590418165,27.177685992192266,0.0,26.85441624803262,24.593335679866527,32.12720552855775,8.234375,722.78125
9,2,56.39093017578125,46.780558025407146,29.363081144691044,0.0,30.151168790391115,26.89327784161851,34.47418837000709,8.5,1335.921875
9,4,58.12221908569336,47.96261344781475,29.00395026577622,0.0,29.708043917892798,25.65018500718774,34.69196794336119,14.3125,1452.0
9,6,59.20673370361328,46.6147150896017,31.119700299907393,0.0,30.74873049536276,28.40037932900932,35.5453100937807,5.734375,1223.15625
9,8,58.116939544677734,45.58472625135382,31.34556276765963,0.0,32.05075288374924,27.793830211909654,34.377891775967754,5.453125,1185.171875
9,10,58.47284698486328,51.13426051393921,29.570707421130997,0.0,31.31329158871155,27.701077603850816,36.465181491919274,5.640625,1007.859375
9,12,58.35605239868164,47.91208063065265,29.788071728447235,0.0,31.26166413366004,27.073824542633965,35.5057059612171,5.46875,796.59375
9,14,58.98137664794922,47.41211980858849,30.529798404504945,0.0,31.598448732945887,28.62651854259167,34.598093655994816,5.5625,1168.03125
9,16,57.18465805053711,43.998989745817134,27.17794058596766,0.0,27.28716000665397,24.46213410489759,30.577176550619217,5.3125,782.375
9,18,56.09198760986328,50.154362416435134,27.530428649635702,0.0,28.91669938047952,25.555744042772005,33.73641451967766,5.0,611.203125
9,20,60.60736846923828,46.38994061181299,31.885502929694013,0.0,32.12329206493791,28.317396903404976,35.18390633067638,4.875,995.46875
9,22,56.57456970214844,45.206900352688464,27.58641634183998,13.480095917592173,27.28957216718765,24.141902707554937,30.76016634594631,5.59375,708.84375
9,24,59.58326721191406,42.8086626368605,27.49441224278951,0.0,28.41422278763502,26.250321731463533,31.45226224528052,4.890625,816.140625
9,26,56.25365447998047,46.33961289941919,30.16657738338026,0.0,30.74822113977623,27.35546388513871,34.577766696076885,5.546875,947.375
9,28,59.13261032104492,51.260738700077084,31.187451005975632,0.0,31.116670535068813,28.84792938736305,34.259964178928406,5.359375,1117.203125
9,30,57.98960876464844,49.886185590418165,29.28889301380269,0.0,29.184486190748803,26.28901407262712,34.96340265755349,5.53125,725.59375
10,2,62.703006744384766,49.18926103244213,31.60237215417889,0.0,32.88730579389017,29.45852204327241,36.59483121046074,5.8125,1072.875
10,4,64.9172134399414,49.66923914572146,30.87194412872664,0.0,31.734540744338638,27.60501617501305,37.0435160041604,5.609375,1071.0
10,6,64.54423522949219,46.6147150896017,32.16346622177037,0.0,31.99983938211774,29.631426228394822,36.25839974903542,5.703125,1772.46875
10,8,63.430809020996094,45.761347431026756,33.2793117453524,0.0,33.77804134429762,30.617640971863004,36.15184230402547,5.5625,1835.203125
10,10,64.94316101074219,51.58056354815066,31.020681010560704,0.0,33.615056956328814,28.846153897729636,38.4107650750117,5.671875,1347.375
10,12,64.98880004882812,48.747784363469606,31.925259912590022,0.0,33.71233190837171,30.039862604129816,37.28218883581974,5.015625,1123.453125
10,14,64.8846664428711,47.41211980858849,31.437918770612757,0.0,32.7997636150056,29.351583050946743,35.36400717287857,5.765625,1570.171875
10,16,63.08509063720703,43.998989745817134,28.234191758715475,0.0,28.419319308239096,25.339887565628302,31.93536008701692,5.625,1101.953125
10,18,61.88313674926758,50.96882676828312,30.15034720183228,0.0,32.04461453071819,28.0433350897144,37.06884186260991,5.234375,885.40625
10,20,66.90645599365234,47.762824564468126,33.34658099867356,0.0,33.525094819080934,29.862857819626658,36.81962668793044,5.125,1286.234375
10,22,62.655948638916016,45.564912918999354,29.777670431931387,17.05972580104613,29.485150367973475,26.799496193497045,32.92058699700016,4.109375,774.0625
10,24,64.95407104492188,42.8086626368605,28.812067918456734,0.0,30.394162382234683,27.53689483793086,32.601088568160094,4.484375,843.625
10,26,62.42226791381836,47.65932854505081,32.308934159962924,0.0,33.196398675291775,29.102241074972962,36.96156009466229,4.015625,994.015625
10,28,65.03256225585938,51.260738700077084,31.74562302544341,0.0,31.563987047845274,29.51064344892945,34.84394950827333,4.3125,1115.234375
10,30,64.60717010498047,50.684228620675846,30.68703370115195,0.0,30.6443392454907,27.46410114201212,36.75489559896701,4.09375,782.15625
